2,1,○,,日本産業規格(JIS)によれば、モールステーパは、テーパ番号によりテーパの角度が異なる。,,,,
2,2,○,,日本産業規格(JIS)によれば、万能フライス盤とは、テーブルを水平面内で旋回可能としたフライス盤、又は主軸頭を旋回可能にしたフライス盤をいう。,,,,
2,3,×,,スロッティングアタッチメントとは、横フライス盤に取り付けて、立てフライス盤の作業ができるようにする装置をいう。,,,,
2,4,×,,バイスの固定口金の直角度が悪くても、工作物基準面と切削面との直角度や平行度に影響を及ぼさない。,,,,
2,5,×,,7/24テーパは、モールステーパよりもテーパ比が小さい。,,,,
2,6,×,,フライス盤の割出し作業において、直接割出し台は、一般に、割出し数が多い場合に使用される。,,,,
2,7,○,,任意の角度だけ傾けることのできる主軸を持った装置を、ユニバーサルアタッチメ ントという。,,,,
2,8,×,,万能フライス盤では、すぐばかさ歯車の歯切りができない。,,,,
2,9,○,,日本産業規格(JIS)によれば、ひざ形立てフライス盤のテーブル上面と主軸頭のZ軸方向運動との直角度の測定には、ダイヤルゲージ及び直角定規を使用する。,,,,
2,10,×,,二番取りフライスは、すくい面の再研削を行うと、刃部形状が変わる。,,,,
2,11,×,,リーマ加工でびびりを防ぐには、リーマの切れ刃は等間隔のものがよい。,,,,
2,12,×,,平フライスには、普通刃、荒刃及び千鳥刃の 3種類がある。,,,,
2,13,○,,切れ刃がなく、塑性加工によってめねじを成形するタップで油溝のないものを、溝なしタップという。,,,,
2,14,○,,環状溝加工又は心残し加工に用いるフライスを、ホローミルという。,,,,
2,15,×,,切削工具において、すくい面とは、切削仕上げ面との不必要な接触を避けるために逃がした面のことをいう。,,,,
2,16,×,,フライス切削において、上向き削りは、下向き削りよりも切削動力の損失が小さい。,,,,
2,17,×,,エンドミルによる溝加工では、一般に、送りが速くなるほど、溝幅の拡大量は少なくなる。,,,,
2,18,×,,流れ形の切りくずが発生する工作物を切削する場合、正面フライスのチップポケットは、できるだけ小さいものを使用する,,,,
2,19,○,正面フライスの平面加工.jpg,正面フライスの平面加上において、加工而の中央が下図(a)のように低くなった場合、原因の一つとして、下図(b)のように、主軸が傾いたことが考えられる。,,,,
2,20,○,,一般に、 せん断角が大きいほど、切削抵抗は小さくなる。,,,,
2,21,○,,正面フライスによる切削は、刃物の中心を境としてアップカットとダウンカットが合成された加工である。,,,,
2,22,○,,フライス盤作業において、加工面の表面粗さを向上させるには、切削速度を速く、送りを遅くするとよい。,,,,
2,23,○,,平フライス削りにおける回転マークとは、フライスの偏心などによって生ずる、フライス1回転ごとのうねりのことをいう。,,,,
2,24,○,,切削加工において、加工硬化や析出硬化の著しい材料で仕上げしろが小さ過ぎると、仕上げ工程における工具摩耗が著しくなることがある。,,,,
2,25,○,,強制びびり振動とは、工作機械内部の駆動装置や切削油剤供給ポンプなどの振動が原因となる、びびり振動である。,,,,
4,26,ハ,,普通旋盤の用語に関する記述として、正しいものはどれか。,固定振れ止めとは、往復台上に取り付ける振れ止めをいう。,移動振れ止めとは、ベッド上に取り付ける振れ止めをいう。,上部送り台とは、サドル上を横方向に移動する台をいう。,面板とは、主軸端に取り付けて、複雑な形状の工作物をも取り付けられる円板をいう。
4,27,ロ,,研削といしに関する記述として、誤っているものはどれか。,粒度を示す数値が大きいほど、と粒が細かい。,組織7は、8よりも組織が粗な構造である。,結合度Kは、Jよりも結合度が高い。,Aと粒は、超硬合金の研削には適さない。
4,28,ハ,,切削油剤に関する記述のうち、誤っているものはどれか。,構成刃先の発生を防ぐ力法の一つとして、切削油剤が使用されている。,極圧添加剤を含む切削油剤は、重切削に適している。,高速切削に使用される切削油剤は、粘度の高いものが要求される。,切削油剤に含まれる極圧添加剤は、潤滑性を助長する。
4,29,ロ,,日本産業規格(JIS)によれば、潤滑方式に関する記述として、誤っているものはどれか。,油浴潤滑は、しゅう動面の一部を永久的に又は周期的に液体潤滑剤のバスの中に浸す潤滑方式である。,滴下潤滑は、油差しで給油口などから給油する潤滑方式である。,オイルミスト潤滑は、空気または他の気体の流れの中に潤滑剤を注入することによって作られた、ミストまたは霧状の潤滑剤をしゅう動面へ供給する潤滑方式である。,パッド潤滑は、毛細管特性をもつ湿り気のある材料のパッドを接触させ、液状潤滑剤をしゅう動面へ供給する潤滑方式である。
4,30,ニ,,油圧駆動に関する記述のうち、誤っているものはどれか。,無段階の変速が可能である。,小さな装置で大きな出力が得られる。,作動油の潤滑性により機器が耐久性に優れる。,作動油の温度によって速度が変化しない。
4,31,イ,,スクロールチャックに関する記述のうち、正しいものはどれか。,ワンピースジョーには、インターナルジョー、エクスターナルジョーがある。,リバーシブルジョーでは、工作物の外径のみを把握できる。,マスタジョーとは、検査のための精密な爪のことである。,インターナルジョーでは、工作物の内径のみを把握できる。
4,32,ロ,,角度を測定するために用いる測定器として、適切でないものはどれか。,オートコリメータ,オプチカルパラレル,サインバー,ベベルプロトラクタ
4,33,ハ,,管理図に関する記述として、誤っているものはどれか。,X管理図とは、サンプルの個々の観測値を用いて工程水準を評価するための計量値管理図をいう。,p管理図とは、サンプルにおける、総単位数当たりの所与の分類項目に該当する単位の数を評価するための計数値管理図をいう。,c管理図とは、群の標準偏差を用いて変動を評価するための計量値管理図をいう。,np管理図とは、サンプルサイズが一定の場合に、所与の分類項目に該当する単位の数を評価するための計数値管理図をいう。
4,34,ロ,,文中の（　）内に当てはまる数値の組み合わせとして、正しいものはどれか。転がり軸受の基本動定格荷重とは、一群の同じ呼び番号の軸受を同一安定条件で（①）回転させたとき、そのうちの（②）％の軸受が転がり疲れによる損傷を起こさない理論上耐えうる荷重をいう。,①10^6、②10,①10^9、②90,①10^10、②10,①10^10、②90
4,35,ニ,,ピッチ2.5mm、条数2のねじのリードはどれか。,1.25mm,2.5mm,4.5mm,5.0mm
4,36,ニ,,日本産業規格（JIS）のOリングに関する記述として、誤っているものはどれか。,運動用Oリングを表す記号はPである。,固定用Oリングを表す記号はGである。,Oリングの材質は、合成ゴムを主体としたゴム状弾性体をもつ高分子材料である。,製品試験における太さ（断面直径）は、測定値における最大値を採用する。
4,37,ロ,,けがき作業用工具の使用方法として、誤っているものはどれか。,ビームコンパスは、大きな円または円弧を描くときに使用される。,片パスでは、丸棒の端面の中心を求めることができない。,丸棒の端面に中心を求める時には、心出し定規を使用するとよい。,片パスは、面に対する平行線をけがく時にも使用される。
4,38,ニ,,きさげ作業に関する記述として、誤っているものはどれか。,きさげには、しゅう動部分の油だまりを作る目的もある。,平きさげは、主に平面のすり合わせに使用される。,ささばきさげは、主に円筒内面のすり合わせに使用される。,あたりには、赤あたりと黒あたりがあり、仕上げ段階では赤あたりで見るのがよい。
4,39,ハ,板金割れ止め穴.jpg,板金工作法に関する記述として、誤っているものはどれか。,一枚の板から継ぎ目のない底のある容器を作り出す方法の一つに、打出しがある。,灸すえとは、ひずみ取りの一種である。,スプリングバック量は、曲げられる板の厚みや材質に関係しない。,直角に二方面に折曲げを行うときには、下図のように割れ止め穴をあけるとよい。
4,40,ハ,,日本産業規格(JIS)におけるニッケルクロムモリブデン鋼鋼材を表す材料記号に用いられるものはどれか。,SCM,SUS,SNCM,SUJ
4,41,イ,,文中の（　）内に当てはまる語句として、適切なものはどれか。鋼をオーステナイトの状態にした後、冷却剤で急冷して得られる（　）組織を得るための操作を焼入れという。,マルテンサイト,セメンタイト,パーライト,フェライト
4,42,ロ,,文中の（　）内に当てはまる語句として、適切なものはどれか。 日本産業規格(JIS)の鉄鋼用語（試験）によれば、機械試験の一つに、シャルピー（　）がある。,引張試験,衝撃試験,曲げ試験,硬さ試験
4,43,ロ,片持ちばり.jpg,下図のような長さが一定で、全長にわたって断面形状が一様の片持ちばりに関する記述として、誤っているものはどれか。,たわみ量は、はりの断面積が同じでも断面形状が異なると変わる。,たわみ量は、はりの材料のヤング率（縦弾性係数）が大きいと大きくなる。,曲げモーメントは、はりの固定端において最大になる。,比例限度内において、たわみ量は、荷重が2倍になると2倍になる。
4,44,ロ,幾何特性記号.jpg,日本産業規格(JIS)による幾何特性に用いる記号において、円筒度を表す記号はどれか。,（図を参照）,（図を参照）,（図を参照）,（図を参照）
4,45,ニ,表面性状の図示記号.jpg,日本産業規格（JIS）において、表面性状の図示記号における各要求事項の指示位置の組合せとして正しいものはどれか。,a[表面性状パラメータの指示位置]、b[加工方法の指示位置],a[表面性状パラメータの指示位置]、c[加工方法の指示位置],b[表面性状パラメータの指示位置]、a[加工方法の指示位置],b[表面性状パラメータの指示位置]、c[加工方法の指示位置]
4,46,ニ,製図法の寸法線.jpg,日本産業規格（JIS）の製図方法において、寸法線及び寸法補助線の記入方法として、誤っているものはどれか。,（図を参照）,（図を参照）,（図を参照）,（図を参照）
4,47,イ,,100V用60W白熱電球に、100Vの電圧を加えたときに流れる電流値は、次のうちどれか。,0.6A,6A,60A,600A
4,48,ニ,,三相かご形誘導電動機に関する記述として、正しいものはどれか。,電源周波数50Hz、極数4での同期回転速度は、2000min^-1である。,回転方向を変えるには、3本の電源線を順に入れ替える。,全電圧始動法（直入れ始動法）では、始動時の電流値は同期速度に比例する。,正回転と逆回転を頻繁に繰り返すと、過熱することがある。
4,49,ロ,,文中の（　）内に当てはまる語句の組み合わせとして、適切なものはどれか。自動制御の（①）制御は、「あらかじめ定められた順序に従って、各操作を順次に進める制御」で、無接点と有接点がある。（②）の回路は、電磁リレーやマイクロスイッチなどを使ったものである。,①フィードバック、②無接点,①シーケンス、②有接点,①フィードバック、②有接点,①シーケンス、②無接点
4,50,ハ,,労働安全衛生関係法令に関する記述として、誤っているものはどれか。,研削といしについては、その作業を開始する前には、1分間以上試運転をしなければならない。,普通の作業を行う作業場の作業面の照度は、150ルクス以上としなければならない。,機械間又はこれと他の設備との間の通路は、幅60センチメートル以上としなければならない。,ワイヤロープの直径の減少が公称径の7％を超えるものは、揚貨装置の玉掛けに使用してはならない。
