5,1,ホ,,生産形態に関する記述として、適切でないものはどれか。,見込生産では、製品の差別化により市場での優位を得るなど、需要の獲得を図るための活動が重要である。,受注生産では、受注後速やかに、工程の生産性を高めつつ顧客の希望する製品を生産するための日程計画を立てることが、納期の維持の上から重要である。,見込生産では、製造された製品は検査の後に製品在庫として保管され、これが販売の変動に対して生産を平滑化するためのバッファの役割をする。,受注生産では、受注によって品質、仕様、数量及び納期が決まると、設計を行い、生産計画が立てられる。,見込生産では、市場の需要の発生に基づいて生産計画が立てられた後、生産が開始され、出荷される。
5,2,二,,トヨタ生産方式に代表される、かんばん方式に関連する用語として、適切でないものはどれか。,アンドン,ジャストインタイム,自働化,タイムバケット,生産の平準化
5,3,ハ,,"日本産業規格(JIS)Z8141における、生産計画に関する記述中の(　)内に当てはまる語句として、正しいものはどれか。
(　)とは、製品を生産するに当たり、その製品の設計情報を用いて、必要作業、工程順序、作業順序及び作業条件を決める活動をいう。




",基準生產計画,大日程計画,手順計画,工数計画,負荷計画
5,4,ホ,,次のうち、日程計画の作成や作業の指示のために使われる一般的な手法や図表として、適切でないものはどれか。,流動数分析図,アローダイヤグラム,ガントチャート,工程別余力表,特性要因図
5,5,二,,現品管理の業務に関する記述として、適切でないものはどれか。,現品の紛失などによる数量の不足の確認,現品の計数や受渡しの容易化,現品の運搬や保管の容易化,現品の不具合の内容の分析,棚卸しによる現品の確認
5,6,ロ,,進度管理に関する記述として、適切でないものはどれか。,進度の調査結果は、ガントチャート式進度表などにまとめられる。,進度管理は、受注してから設計、生産計画、生産完了に至る活動全体の進み具合を管理するものである。,進度管理の目的の一つに、納期を確保することがある。,進度管理の重点は、日程計画に基づいて指示されたとおりに生産が実行されるよう、作業の進行状況を把握して調整することである。,進度管理には、作業管理板などが使われる。
5,7,ロ,,"余力管理に関する記述中の(　)内に当てはまる語句の組合せとして、適切なものはどれか。
余力管理は、人員や(①)の能力と負荷を調整して、手待時間をなくすことと、進度の(②)を図る業務であり、作業を負荷と能力の(③)という面から見る。",①生産方法②具現化③調整,①機械設備②適正化③バランス,①材料②可視化③適正化,①機械設備②具現化③差異,①生産方法②可視化③バランス
5,8,二,,在庫管理に関する記述として、適切でないものはどれか。,定量発注方式では、発注時点間の間隔(発注間隔)は、対象品目の使用速度の変化などによって変動する。,ABC分析におけるA区分では、一般に、定期発注方式がとられる。,単価が安くて納期が短く、消費量が安定している品目の在庫管理には、ダブルビン方式(複棚法)が適している。,大物部品や単価が高いもの、需要の変動が大きい重点管理品目、特殊品、引当品などについては、定量発注方式が適している。,定期発注方式は、将来の需要量を予測し、当期末の在庫量をフィードバックすることによって発注量を算定する。
5,9,ホ,,作業の標準化に関する記述として、適切でないものはどれか。,標準化の対象には、生産活動の4要素(要員、設備、材料及び方法)が含まれている。,必要とする作業員の技能は、作業標準として設定すべきである。,標準化の効果として、製品やサービスの品質保証、コスト低減などを進め、顧客満足度を高めることが期待できる。,作業方法の標準化の効果として、作業の日程計画や実績評価の資料に利用することが期待できる。,標準作業方法を決定する前に、標準時間を設定する必要がある。
5,10,ホ,,作業の分析手法に関する記述として、適切なものはどれか。,ワークサンプリング法は、連続観測法の一つである。,事務帳票の流れの改善には、連合作業分析が有効である。,PTS法は、直接的な時間研究の一手法である。,サーブリッグ分析は、作業時間を詳細に記録することによって行われる。,流れ線図は、レイアウト図上に工程経路を展開したものである。
