5,1,ホ,,一般的な生産活動の流れに関する記述として、適切でないものはどれか。,資材計画は、生産に必要な品目、その所要量、品質、必要時期などを決める活動である。,作業指示は、手配計画で生産に必要な人員、機械設備、資材が揃った後、実際の作業に移るように指示する活動である。,検査には、購入品·外注部品の受入検査、製造·運搬工程の仕掛品検査、完成した製品の製品検査がある。,資材在庫は、資材供給のリードタイムの変動、予測と需要の差異を吸収するために置かれる。,出荷は、受注生産の場合には、市場の需要に合わせてあらかじめ生産された製品在庫から行われる。
5,2,ニ,,生産形態及び生産方式に関する記述として、適切でないものはどれか。,プロセス生産では、原材料に対する化学的·物理的処理を通じて、最終的に様々な製品が産出される。,見込み生産では、製品の差別化により市場での優位を図るなど、需要の獲得を図る活動が重要である。,受注生産では、顧客が定めた仕様の製品を生産者が生産する。,ストックポイント型生産方式では、顧客の注文に基づいて部品や半製品を作り、最終的には見込みで生産を行う。,ロット生産では、品種ごとに生産量をまとめて、複数の製品を交互に生産する。
5,3,ロ,,生産統制に関する記述として、適切なものはどれか。,作業指示では、次期の生産予定の全品目について、着手日程と完了日程を決める。,作業指示で用いられる帳票として、作業票、出庫票、移動票、検査票などがある。,計画と実績の差異の測定では、作業者の動きや機械の動作を分析し、定められた動きをしていない状況があれば、修正することが活動の中心となる。,計画と実績の差異の処置では、計画と実績の差に対して、それを生じさせた原因を追究し、当期の中だけで対応して、次期の計画に影響させないことが要求される。,遅延対策において、遅延の回復を行う方法として、日程計画にゆとりを持たせる方法がある。
5,4,ハ,,日程計画の目的に関する記述として、適切でないものはどれか。,工程の稼働率の向上,短納期化への対応,作業方法の改善,納期見積の正確化,受注変動に対する負荷量変動の抑制
5,5,ホ,,"日本産業規格(JIS)Z8141(生産管理用語)における、現品管理に関する記述中の()内に当てはまる語句として、正しいものはどれか。
現品管理とは、「資材、仕掛品、製品などの物について(　)又は停滞·保管の状況を管理する活動」である。",記帳·転載,包装·梱包,形状·特性,検査·検収,運搬·移動
5,6,イ,,進度管理(進捗管理)に関する記述として、適切でないものはどれか。,進度管理の目的の一つに、手待ち時間を削減する活動がある。,進度管理は、納期管理とも言われる。,進度管理では、遅延があれば対策をとる。,進度管理には、ある期間にどれだけ生産したかを見る数量の確認がある。,進度の調査結果は、ガントチャート式進度表などにまとめられる。
5,7,ホ,,余力管理に関する記述として、適切なものはどれか。,余力管理の主な活動とは、日々の作業の進行状況を把握して調整することである。,余力とは、生産開始から生産完了までに含まれる余裕時間である。,余力比率とは、一定期間に負荷されている仕事量と工程の生産能力の比である。,余力とは、受注した仕事量全体を工場全体の生産能力で検討したものである。,余力管理は、ある期間の作業の負荷状態と能力を把握し、その期間での余力を均衡させることをねらいとする。
5,8,ニ,,在庫管理に関する記述として、適切でないものはどれか。,安全在庫とは、需要変動を吸収する目的で設置される在庫をいう。,納品不足が予測される場合の資材在庫は、緩衝(バッファ)在庫の一種である。,ロット生産では、工程間に在庫が発生し、その管理が重要となる。,発注点方式は、定期的に発注する方法である。,在庫は、物による緩衝(バッファ)のうち一般的なものである。
5,9,ホ,,作業方法を標準化することにより期待できる効果として、適切でないものはどれか。,作業の日程計画や実績評価の資料として利用することができる。,作業員の訓練や指導の拠り所となり、技術の向上に役立つ。,安全な作業の維持と向上に役立つ。,必要な作業員数や機械台数の算出基準に用いることができる。,同じ結果が得られる作業に対して、作業員別の作業方法を設定することができる。
5,10,イ,,作業管理の方法研究に関する記述として、適切なものはどれか。,工程分析は、製造過程を工程別に分け、○、□、▽等の記号で図示する手法である。,流れ線図は、横方向に加工工程、縦方向に対象品をとり、簡略工程分析表に基づいて作成する。,運搬工程分析は、作業者工程分析から分化したもので、作業者の作業内容を記号化して分析する手法である。,サーブリッグ分析は、歩行などの体全体の動きを分析できる。,稼働分析における瞬間観測法は、分析の対象としている作業の時間を直接、測定できる。
5,11,イ,,"の記述に当てはまる標準時間の設定手法として、適切なものはどれか。
作業方法を基本動作に分解し、その動作の性質と条件に応じて、あらかじめ定められた時間値(時間標準値)を当てはめる方法。",PTS法,ストップウォッチ法,連合作業分析,瞬間観測法,ビデオ分析
5,12,ハ,,作業改善を行うためのアイディア発想の技法として、適切でないものはどれか。,5W1H法,ブレーン·ストーミング法,WF法,KJ法,NM法
5,13,ホ,,"品質管理に関する記述中の(内に当てはまる語句の組合せとして、適切なものはどれか。
当初の品質管理では、(1 )で不良品を出さないような管理に重点がおかれていたが、最近では、(2)の要求に合った製品の品質を確実に実現できるように、( 3 )部門を含めた全社的な活動としての管理が重視されている。
ものづくりでは、( 4 )収益のみでなく、(2)の満足や信頼による長期的な利益を確保するためには、品質の確保が重要である。
また、企業の永続的な発展のためには、計画一実施ーチェックー(5)を繰り返して、良い管理をできるようにすることが大切である。",①検査②設計③品質保証④営業⑤品質向上,①顧客②営業③全社的④短期的な⑤是正処置,①生産現場②顧客③設計④営業⑤品質向上,①顧客②設計③品質保証④営業⑤品質向上,①生産現場②顧客③設計④短期的な⑤是正処置
5,14,ニ,,日本産業規格(JIS)Q9000及びQ9001に記載されている品質マネジメントの原則に、合致していないものはどれか。,顧客重視,改善,プロセスアプローチ,自主的活動,リーダーシップ
5,15,ハ,,"検定に関する記述中の(　)内に当てはまる語句の組合せとして、適切なものはどれか。
検定の際に犯す“誤り”には、次の2種が考えられる。
　第1種の誤り:帰無仮説が(1 )ときに、これを(2 )誤り。
　第2種の誤り:帰無仮説が(3 )ときに、これを( 4 )誤り。
前者は、抜取検査における生産者危険に対応し、後者は、(5 )危険に対応する。",①正しい②棄却する③正しくない④棄却しない⑤購入者,①正しくない②棄却しない③正しい④棄却する⑤購入者,①正しい②棄却する③正しくない④棄却しない⑤消費者,①正しくない②棄却する③正しい④棄却しない⑤消費者,①正しい②棄却しない③正しくない④棄却する⑤購入者
5,16,ロ,,QC七つ道具の一つとして、品質特性(結果)と、その特性に影響を与えていると思われる要因(原因)との関係を図で表現したもので、魚の骨の形状に似ているため、フィッシュボーン·チャートと呼ばれることがあるものはどれか。,管理図,特性要因図,連関図,系統図,親和図
